Accident_ID,Date,Month,Accidents,Injuries,Fatalities,Weather,Vehicle_Type,Road_Type,Speed_Limit,Alcohol_Involved,Severity
1,2024-01-03,Jan,3,2,0,Clear,Car,Highway,80,0,Medium
2,2024-01-05,Jan,5,3,1,Rain,Bike,City,50,0,High
3,2024-01-09,Jan,2,1,0,Fog,Truck,Highway,60,1,Medium
4,2024-01-12,Jan,6,4,1,Clear,Bus,Rural,70,0,High
5,2024-01-18,Jan,4,3,0,Rain,Car,City,40,0,Medium
6,2024-01-22,Jan,1,0,0,Clear,Bike,City,50,0,Low
7,2024-02-02,Feb,2,1,0,Rain,Car,Highway,70,0,Low
8,2024-02-04,Feb,5,3,1,Fog,Truck,Rural,60,1,High
9,2024-02-06,Feb,3,2,0,Clear,Car,City,45,0,Medium
10,2024-02-10,Feb,6,5,1,Rain,Bike,City,50,0,High
11,2024-02-14,Feb,2,1,0,Clear,Car,Highway,80,0,Low
12,2024-02-19,Feb,4,3,0,Fog,Bus,Rural,60,1,Medium
13,2024-03-01,Mar,3,2,0,Clear,Car,City,40,0,Medium
14,2024-03-05,Mar,6,4,1,Rain,Truck,Highway,70,1,High
15,2024-03-08,Mar,5,3,0,Clear,Bike,City,50,0,Medium
16,2024-03-11,Mar,7,5,1,Fog,Bus,Rural,60,1,High
17,2024-03-15,Mar,4,3,0,Clear,Car,Highway,80,0,Medium
18,2024-03-20,Mar,2,1,0,Rain,Bike,City,45,0,Low
19,2024-03-25,Mar,3,2,0,Clear,Truck,Rural,70,0,Medium
20,2024-03-29,Mar,5,3,1,Rain,Car,City,40,1,High
21,2024-04-02,Apr,4,2,0,Clear,Car,Highway,90,0,Medium
22,2024-04-05,Apr,6,4,1,Heat,Bike,Rural,70,0,High
23,2024-04-08,Apr,7,5,1,Clear,Truck,Highway,80,1,High
24,2024-04-12,Apr,3,2,0,Rain,Car,City,50,0,Medium
25,2024-04-14,Apr,2,1,0,Clear,Bike,City,45,0,Low
26,2024-04-17,Apr,8,6,1,Heat,Bus,Highway,90,1,High
27,2024-04-20,Apr,3,1,0,Clear,Car,Rural,60,0,Low
28,2024-04-24,Apr,6,4,1,Rain,Truck,City,50,1,High
29,2024-04-27,Apr,5,3,0,Clear,Bike,Highway,75,0,Medium
30,2024-04-29,Apr,4,2,0,Heat,Car,City,40,0,Medium
